fecha,categoria,monto
2025-04-18 18:00:00,ingreso operativo,159980.0
2025-04-18 18:00:00,costo operativo,35000.0
2025-04-19 12:00:00,ingreso operativo,194970.0
2025-04-19 12:00:00,costo operativo,35000.0
2025-04-19 16:00:00,costo operativo,35000.0
2025-04-19 16:00:00,ingreso operativo,159980.0
2025-04-21 13:00:00,ingreso operativo,164970.0
2025-04-21 13:00:00,costo operativo,35000.0
2025-04-21 17:00:00,ingreso operativo,139980.0
2025-04-21 17:00:00,costo operativo,35000.0
2025-05-01 00:00:00,Costos de Marketing,58145.0
2025-05-01 12:00:00,ingreso operativo,179980.0
2025-05-01 12:00:00,costo operativo,35000.0
2025-05-02 11:00:00,costo operativo,35000.0
2025-05-02 11:00:00,ingreso operativo,194950.0
2025-05-02 15:00:00,costo operativo,35000.0
2025-05-02 15:00:00,ingreso operativo,197964.0
2025-05-04 12:00:00,costo operativo,35000.0
2025-05-04 12:00:00,ingreso operativo,138558.0
2025-05-04 16:00:00,ingreso operativo,168980.0
2025-05-04 16:00:00,costo operativo,35000.0
2025-05-06 00:00:00,costos fijos,19494.0
2025-05-08 00:00:00,Costos de Marketing,59004.5
2025-05-11 10:00:00,costo operativo,35000.0
2025-05-11 10:00:00,ingreso operativo,209960.0
2025-05-11 16:00:00,ingreso operativo,139980.0
2025-05-11 16:00:00,costo operativo,35000.0
2025-05-14 15:00:00,costo operativo,35000.0
2025-05-14 15:00:00,ingreso operativo,194950.0
2025-05-17 00:00:00,Costos de Marketing,3040.0
2025-05-17 00:00:00,Costos de Marketing,39738.5
2025-05-18 16:00:00,costo operativo,35000.0
2025-05-18 16:00:00,ingreso operativo,125982.0
2025-05-23 12:00:00,ingreso operativo,119000.0
2025-05-23 12:00:00,costo operativo,35000.0
2025-05-23 15:00:00,ingreso operativo,139980.0
2025-05-23 15:00:00,costo operativo,35000.0
2025-05-24 14:00:00,ingreso operativo,164970.0
2025-05-24 14:00:00,costo operativo,35000.0
2025-05-30 16:00:00,ingreso operativo,69990.0
2025-05-30 16:00:00,costo operativo,35000.0
2025-05-31 12:00:00,costo operativo,35000.0
2025-05-31 12:00:00,ingreso operativo,139980.0
2025-06-02 00:00:00,costos fijos,300000.0
2025-06-05 15:00:00,costo operativo,35000.0
2025-06-05 15:00:00,ingreso operativo,125982.0
2025-06-13 14:00:00,costo operativo,35000.0
2025-06-13 14:00:00,ingreso operativo,139980.0
2025-06-18 00:00:00,costos variables,45000.0
2025-06-20 14:00:00,ingreso operativo,179960.0
2025-06-20 14:00:00,costo operativo,35000.0
2025-06-21 15:00:00,costo operativo,35000.0
2025-06-21 15:00:00,ingreso operativo,194950.0
2025-07-10 12:00:00,costo operativo,35000.0
2025-07-10 12:00:00,ingreso operativo,62991.0
